Shareholder - Name	Issuer - Name	Security - Type	Security - Report Date	Security - Market Value	Data Source URL
AP3	Hafslund AS	Bond	2025-12-31	80,115	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Holmen AB	Bond	2025-12-31	167,661	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Hyundai Motor Co	Bond	2025-12-31	226,202	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Iberdrola SA	Bond	2025-12-31	696,038	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Industrivarden AB	Bond	2025-12-31	132,562	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ING Groep NV	Bond	2025-12-31	224,703	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Inter-American Development Bank	Bond	2025-12-31	739,654	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ISS A/S	Bond	2025-12-31	106,606	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Japan	Bond	2025-12-31	9,788,449	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Johnson Controls International plc	Bond	2025-12-31	115,202	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	JPMorgan Chase & Co	Bond	2025-12-31	448,333	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	KFW	Bond	2025-12-31	3,316,474	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Kingdom of Spain	Bond	2025-12-31	1,295,203	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Kingdom of Sweden	Bond	2025-12-31	13,471,678	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	L E Lundbergforetagen AB	Bond	2025-12-31	64,452	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Landshypotek ek for	Bond	2025-12-31	327,982	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Landwirtschaftliche Rentenbank	Bond	2025-12-31	813,045	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Lansforsakringar AB	Bond	2025-12-31	132,304	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Lansforsakringar Hypotek AB	Bond	2025-12-31	518,759	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Legal & General Group PLC	Bond	2025-12-31	193,610	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	London Stock Exchange Group PLC	Bond	2025-12-31	44,996	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Medtronic PLC	Bond	2025-12-31	216,172	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Mercedes-Benz Group AG	Bond	2025-12-31	782,717	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Nederlandse Waterschapsbank NV	Bond	2025-12-31	129,187	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NextEra Energy Inc	Bond	2025-12-31	390,260	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Nordea Bank Abp	Bond	2025-12-31	2,891,095	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Nordic Investment Bank	Bond	2025-12-31	1,015,525	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Oracle Corp	Bond	2025-12-31	385,055	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Philip Morris International Inc	Bond	2025-12-31	522,502	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Prudential Financial Inc	Bond	2025-12-31	290,023	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Region Skane	Bond	2025-12-31	249,189	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Rikshem Intressenter AB	Bond	2025-12-31	469,184	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Saab AB	Bond	2025-12-31	204,646	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Sampo Oyj	Bond	2025-12-31	515,317	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SES SA	Bond	2025-12-31	268,528	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Skandinaviska Enskilda Banken AB	Bond	2025-12-31	523,719	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Stryker Corp	Bond	2025-12-31	218,816	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Svenska Handelsbanken AB	Bond	2025-12-31	5,514,353	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Swedbank AB	Bond	2025-12-31	558,286	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Telefonica SA	Bond	2025-12-31	454,246	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
