Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Private Equity - Vintage year	Data Source URL
AP3	Advent International GPE VI	2025-12-31	25	x1_000_000	EUR	2008	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Advent International GPE VIII	2025-12-31	25	x1_000_000	EUR	2016	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Advent International GPE IX	2025-12-31	30	x1_000_000	EUR	2019	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Advent Tech II	2025-12-31	40	x1_000_000	USD	2022	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AlpInvest Co Invest VII	2025-12-31	50	x1_000_000	USD	2017	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AlpInvest Co Invest VIII	2025-12-31	50	x1_000_000	USD	2021	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Altas Partners Holdings II	2025-12-31	50	x1_000_000	USD	2019	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Altas Partners Holdings III	2025-12-31	50	x1_000_000	USD	2023	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Altor Fund II	2025-12-31	30	x1_000_000	EUR	2006	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Altor Fund III	2025-12-31	24	x1_000_000	EUR	2009	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Altor Fund IV	2025-12-31	35	x1_000_000	EUR	2014	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Altor Fund V	2025-12-31	40	x1_000_000	EUR	2019	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Altor Fund VI	2025-12-31	40	x1_000_000	EUR	2022	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Apollo Overseas Partners VI	2025-12-31	25	x1_000_000	USD	2006	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Aquiline Financial Services Fund IV	2025-12-31	50	x1_000_000	USD	2019	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Aquiline Financial Services Fund V	2025-12-31	50	x1_000_000	USD	2024	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
