Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Stock - Percent Ownership	Data Source URL
BPL Pension	Bayerische Motoren Werke	2023-12-31	6.878	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	Becton Dickinson	2023-12-31	5.976	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	Berlin-Hannoversche Hypothekenbank AG	2023-12-31	10.879	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	Bertelsmann AG	2023-12-31	4.624	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Blackstone Holdings Fina	2023-12-31	690	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	BLACKSTONE PP EUR HOLD	2023-12-31	3.934	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	BNP Paribas	2023-12-31	29.895	x1_000	EUR	0,18%	https://www.bplpensioen.nl/beleggen
BPL Pension	BNP Paribas Fortis SA	2023-12-31	5.770	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	Bouygues SA	2023-12-31	1.456	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	BP Captial Markets PLC	2023-12-31	22.347	x1_000	EUR	0,14%	https://www.bplpensioen.nl/beleggen
BPL Pension	Bpce Sa	2023-12-31	5.533	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	BPCE Sfh - Societe de Fi	2023-12-31	25.184	x1_000	EUR	0,15%	https://www.bplpensioen.nl/beleggen
BPL Pension	British Telecommunications PLC	2023-12-31	98	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	CA AUTOBANK SPA	2023-12-31	7.810	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	CADENT FINANCE PLC	2023-12-31	2.995	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Caisse Francaise De Financemen	2023-12-31	5.266	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Caixabank	2023-12-31	3.161	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Cajamar Caja Rural SCC	2023-12-31	4.537	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Carrefour SA	2023-12-31	4.471	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	CASTELLUM AB	2023-12-31	3.623	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	CBRE GI OPEN END FUND	2023-12-31	4.784	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	CELANESE US HOLDINGS LLC	2023-12-31	4.895	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Cie Financement Foncier	2023-12-31	11.397	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	CK Hutchison Holdings Ltd	2023-12-31	2.504	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Coca-Cola Co	2023-12-31	10.636	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	Coca-Cola European Partners Plc	2023-12-31	3.490	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Coca-Cola HBC Finance BV	2023-12-31	3.320	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Colgate-Palmolive Co	2023-12-31	1.223	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	COLOPLAST FINANCE BV	2023-12-31	5.115	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	COMMERZBANK AG	2023-12-31	28.948	x1_000	EUR	0,18%	https://www.bplpensioen.nl/beleggen
BPL Pension	Commonwealth Bank Australia	2023-12-31	1.384	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Compagnie de Saint-Gobain S.A.	2023-12-31	4.974	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
